Ticker,Date,Action,Shares_Sold,Sale_Price,Sale_Value,Fee,Allocated_Cost_Basis,Realized_PnL
GPIL.NS,2021-11-01,TRIM,423,338.701416015625,143270.69897460938,143.2706989746094,102079.22268409339,41048.20559154138
ANANTRAJ.NS,2021-12-01,SELL,28806,64.12806701660156,1847273.0984802246,1847.2730984802247,1645674.8300354185,199750.99534632592
ADANIENSOL.NS,2021-12-01,TRIM,2,1797.1500244140625,3594.300048828125,3.594300048828125,3524.621197753906,66.08455102539074
ATGL.NS,2021-12-01,TRIM,14,1623.7205810546875,22732.088134765625,22.732088134765625,16316.830810450945,6392.525236179914
POONAWALLA.NS,2021-12-01,TRIM,749,186.2039031982422,139466.7234954834,139.4667234954834,110021.99878379764,29305.25798819028
ADANIENT.NS,2021-12-01,TRIM,196,1689.528564453125,331147.5986328125,331.1475986328125,282924.8448670965,47891.6061670832
PGEL.NS,2021-12-01,TRIM,2752,56.18690490722656,154626.3623046875,154.6263623046875,105402.97608164334,49068.75986073946
GPIL.NS,2022-01-03,SELL,6677,270.3060607910156,1804833.5679016113,1804.8335679016113,1637848.63197946,165180.10235424992
POONAWALLA.NS,2022-01-03,TRIM,1144,218.2926788330078,249726.82458496094,249.72682458496095,168044.2811864679,81432.81657390806
PGEL.NS,2022-01-03,TRIM,8520,78.03014373779297,664816.8246459961,664.8168246459961,326320.2602527622,337831.74756858795
ATGL.NS,2022-01-03,TRIM,16,1741.24853515625,27859.9765625,27.8599765625,18647.806640515366,9184.309945422134
CGPOWER.NS,2022-01-03,TRIM,2319,193.716064453125,449227.5534667969,449.2275534667969,133205.03895813538,315573.28695519466
TATAELXSI.NS,2022-02-01,SELL,473,7089.337890625,3353256.822265625,3353.256822265625,1981331.9717597656,1368571.5936835937
POONAWALLA.NS,2022-02-01,TRIM,1549,278.761962890625,431802.2805175781,431.80228051757814,227535.48213097797,203834.99610608257
ADANIENSOL.NS,2022-02-01,TRIM,53,1986.9000244140625,105305.70129394531,105.30570129394532,93257.37077619863,11943.024816452744
JBMA.NS,2022-02-01,TRIM,1179,303.9447937011719,358350.91177368164,358.3509117736817,290199.83211763005,67792.7287442779
ADANIENT.NS,2022-03-02,SELL,1434,1638.1431884765625,2349097.3322753906,2349.0973322753907,2112841.5931392517,233906.64180386346
JSWENERGY.NS,2022-03-02,TRIM,790,330.56689453125,261147.8466796875,261.1478466796875,256470.98453481455,4415.714298193256
ADANIENSOL.NS,2022-03-02,TRIM,95,2241.050048828125,212899.75463867188,212.89975463867188,167159.43818375224,45527.41670028097
PGEL.NS,2022-04-01,SELL,29605,74.91254425048828,2217785.8725357056,2217.7858725357055,1354072.8759253458,861495.210737824
ATGL.NS,2022-04-01,SELL,1251,2246.208740234375,2810007.134033203,2810.0071340332033,1549804.996407463,1257392.1304917068
ANGELONE.NS,2022-04-01,TRIM,175,141.2998809814453,24727.47917175293,24.72747917175293,21412.009706306457,3290.7419862747192
ADANIENSOL.NS,2022-05-02,SELL,1110,2804.449951171875,3112939.4458007812,3112.9394458007814,2016234.4121225686,1093592.094232412
DEEPAKFERT.NS,2022-05-02,SELL,4646,620.5545654296875,2883096.510986328,2883.096510986328,2521107.9867362054,359105.4277391364
ANGELONE.NS,2022-05-02,TRIM,2892,166.7107696533203,482127.54583740234,482.12754583740235,353848.75468936155,127796.66360220336
JBMA.NS,2022-05-02,TRIM,1157,249.4004364013672,288556.30491638184,288.55630491638186,272029.02781716594,16238.720794299501
JSWENERGY.NS,2022-05-02,TRIM,10,297.232421875,2972.32421875,2.97232421875,3185.8678242604547,-216.5159297292048
CGPOWER.NS,2022-05-02,TRIM,575,190.2586212158203,109398.70719909668,109.39870719909668,51284.80935442653,58004.49913747105
POONAWALLA.NS,2022-05-02,TRIM,778,289.787841796875,225454.94091796875,225.45494091796874,132548.9396347849,92680.54634226588
JSWENERGY.NS,2022-06-01,SELL,9652,259.73663330078125,2506977.9846191406,2506.977984619141,3074999.623976191,-570528.6173416697
RPOWER.NS,2022-06-01,SELL,155916,13.199999809265137,2058091.170261383,2058.091170261383,2216221.1774316444,-160188.09834052273
KPITTECH.NS,2022-06-01,TRIM,218,528.2941284179688,115168.11999511719,115.1681199951172,129299.26469926571,-14246.312824143635
TATAELXSI.NS,2022-06-01,TRIM,72,8173.0830078125,588461.9765625,588.4619765625,525138.5514375,62734.96314843744
POONAWALLA.NS,2022-07-01,SELL,9546,228.5274658203125,2181523.188720703,2181.5231887207033,1662808.9803884581,516532.6851435241
ANGELONE.NS,2022-07-01,SELL,14949,111.57112121582033,1667876.691055298,1667.8766910552981,1874574.187531883,-208365.37316764006
