Date,Ticker,Action,Shares,Price,Trade_Value,Fee
2021-07-01,PGEL.NS,BUY,11116,41.48817825317383,461182.5894622803,461.1825894622803
2021-07-01,CGPOWER.NS,BUY,7629,78.3853530883789,598001.8587112427,598.0018587112427
2021-07-01,POONAWALLA.NS,BUY,2601,147.4402618408203,383492.12104797363,383.4921210479736
2021-07-01,ANANTRAJ.NS,BUY,5895,58.34429168701172,343939.5994949341,343.9395994949341
2021-07-01,GPIL.NS,TRIM,1012,321.40625,325263.125,325.263125
2021-07-01,HINDCOPPER.NS,BUY,3970,138.87709045410156,551342.0491027832,551.3420491027832
2021-08-02,PGEL.NS,TRIM,2640,36.90169525146485,97420.4754638672,97.4204754638672
2021-08-02,CGPOWER.NS,TRIM,3701,78.1384048461914,289190.2363357544,289.1902363357544
2021-08-02,GPIL.NS,TRIM,2093,402.68463134765625,842818.9334106445,842.8189334106446
2021-08-02,ANANTRAJ.NS,TRIM,7292,65.85983276367188,480249.9005126953,480.2499005126953
2021-08-02,ATGL.NS,TRIM,206,887.0501708984375,182732.33520507812,182.73233520507813
2021-08-02,POONAWALLA.NS,TRIM,3310,170.7281036376953,565110.0230407715,565.1100230407715
2021-08-02,HINDCOPPER.NS,TRIM,2375,148.6927490234375,353145.27893066406,353.14527893066406
2021-08-02,ADANIENT.NS,BUY,1172,1434.99658203125,1681815.994140625,1681.815994140625
2021-08-02,TATAELXSI.NS,BUY,532,4010.3759765625,2133520.01953125,2133.52001953125
2021-09-01,PGEL.NS,BUY,3063,33.76410675048828,103419.4589767456,103.4194589767456
2021-09-01,GPIL.NS,BUY,1763,276.91827392578125,488206.91693115234,488.20691693115236
2021-09-01,ATGL.NS,TRIM,671,1508.639404296875,1012297.0402832031,1012.2970402832032
2021-09-01,ANANTRAJ.NS,BUY,1912,63.18983459472656,120818.96374511719,120.81896374511719
2021-09-01,ADANIENT.NS,BUY,42,1561.7138671875,65591.982421875,65.591982421875
2021-09-01,POONAWALLA.NS,BUY,359,169.04702758789062,60687.882904052734,60.687882904052735
